ptan,cba,product_category_code,hcpcs_code,manufacturer,product_name
392420001,21200,22,L1833,ALPS CHINA LLC / ALPS ORTHOTICS LLC,KNEE BRACE HINGE PULL ON
6709220001,21505,22,L1833,DJO LLC,DONJOY X4 KNEE BRACE RIGHT
130020001,21175,22,L1833,DJO LLC,DONJOY X4 KNEE BRACE RIGHT
380560003,21435,22,L1833,DJO LLC,DONJOY X4 KNEE BRACE RIGHT
380560004,21435,22,L1833,DJO LLC,DONJOY X4 KNEE BRACE RIGHT
380560003,21510,22,L1833,DJO LLC,DONJOY X4 KNEE BRACE RIGHT
380560004,21510,22,L1833,DJO LLC,DONJOY X4 KNEE BRACE RIGHT
5434540001,21095,22,L1833,DJO LLC,DONJOY X4 KNEE BRACE RIGHT
392420012,21200,22,L1833,ALPS CHINA LLC / ALPS ORTHOTICS LLC,KNEE BRACE HINGE PULL ON
392420015,21380,22,L1833,ALPS CHINA LLC / ALPS ORTHOTICS LLC,KNEE BRACE HINGE PULL ON
392420013,21095,22,L1833,ALPS CHINA LLC / ALPS ORTHOTICS LLC,KNEE BRACE HINGE PULL ON
392420011,21200,22,L1833,ALPS CHINA LLC / ALPS ORTHOTICS LLC,KNEE BRACE HINGE PULL ON
1129560001,21280,22,L1833,ADVANCED ORTHOPAEDICS INC,ROM TELESCOPING POST-OP KNEE BRACE
1129560001,21165,22,L1833,ADVANCED ORTHOPAEDICS INC,ROM TELESCOPING POST-OP KNEE BRACE
5557230001,21300,22,L1833,BSN MEDICAL INC,ACTIMOVE OA KNEE BRACE - DOUBLE UPRIGHT
6709220001,21505,21,L0650,BREG INC,PROLUX
5557230001,21300,21,L0650,BREG INC,PROLUX
380560004,21435,21,L0650,BREG INC,PROLUX
380560003,21435,21,L0650,BREG INC,PROLUX
380560004,21435,21,L0650,TRULIFE,"TITAN MALE LSO, CORPULENT"
380560003,21435,21,L0650,TRULIFE,"TITAN MALE LSO, CORPULENT"
414330502,21640,21,L0621,BREG INC,BOA SI BELT
414330399,21460,21,L0621,BREG INC,BOA SI BELT
339460213,21185,21,L0621,BREG INC,BOA SI BELT
339460099,21380,21,L0621,BREG INC,BOA SI BELT
339460365,21185,21,L0621,BREG INC,BOA SI BELT
339460216,21195,21,L0621,BREG INC,BOA SI BELT
414330172,21485,21,L0621,BREG INC,BOA SI BELT
340220190,21505,21,L0621,BREG INC,BOA SI BELT
6709220001,21505,21,L0621,BREG INC,BOA SI BELT
6709220001,21505,22,L1833,THUASNE / TOWNSEND DESIGN,GENU LIGAFLEX ROM (SIZE 6L)
2517000001,21405,21,L0650,DJO GLOBAL INC,EXOS FORM 637 LUMBO-SACRAL ORTHOSIS S/M
662650001,21555,21,L0650,DJO GLOBAL INC,EXOS FORM 637 LUMBO-SACRAL ORTHOSIS S/M
662650001,21320,21,L0650,DJO GLOBAL INC,EXOS FORM 637 LUMBO-SACRAL ORTHOSIS S/M
662650001,21615,21,L0650,DJO GLOBAL INC,EXOS FORM 637 LUMBO-SACRAL ORTHOSIS S/M
662650001,21495,21,L0650,DJO GLOBAL INC,EXOS FORM 637 LUMBO-SACRAL ORTHOSIS S/M
2517000001,21515,21,L0650,DJO GLOBAL INC,EXOS FORM 637 LUMBO-SACRAL ORTHOSIS S/M
2517000001,21420,21,L0650,DJO GLOBAL INC,EXOS FORM 637 LUMBO-SACRAL ORTHOSIS S/M
662650001,21575,21,L0650,DJO GLOBAL INC,EXOS FORM 637 LUMBO-SACRAL ORTHOSIS S/M
662650001,21530,21,L0650,DJO GLOBAL INC,EXOS FORM 637 LUMBO-SACRAL ORTHOSIS S/M
662650001,21070,21,L0650,DJO GLOBAL INC,EXOS FORM 637 LUMBO-SACRAL ORTHOSIS S/M
414330351,21085,21,L0650,DJO GLOBAL INC,EXOS FORM 637 LUMBO-SACRAL ORTHOSIS S/M
340220166,21100,21,L0650,DJO GLOBAL INC,EXOS FORM 637 LUMBO-SACRAL ORTHOSIS S/M
662650001,21505,21,L0650,DJO GLOBAL INC,EXOS FORM 637 LUMBO-SACRAL ORTHOSIS S/M
662650001,21375,21,L0650,DJO GLOBAL INC,EXOS FORM 637 LUMBO-SACRAL ORTHOSIS S/M
662650001,21250,21,L0650,DJO GLOBAL INC,EXOS FORM 637 LUMBO-SACRAL ORTHOSIS S/M
662650001,21150,21,L0650,DJO GLOBAL INC,EXOS FORM 637 LUMBO-SACRAL ORTHOSIS S/M
339460175,21385,21,L0650,DJO GLOBAL INC,EXOS FORM 637 LUMBO-SACRAL ORTHOSIS S/M
662650001,21680,21,L0650,DJO GLOBAL INC,EXOS FORM 637 LUMBO-SACRAL ORTHOSIS S/M
662650001,21440,21,L0650,DJO GLOBAL INC,EXOS FORM 637 LUMBO-SACRAL ORTHOSIS S/M
662650001,21405,21,L0650,DJO GLOBAL INC,EXOS FORM 637 LUMBO-SACRAL ORTHOSIS S/M
662650001,21335,21,L0650,DJO GLOBAL INC,EXOS FORM 637 LUMBO-SACRAL ORTHOSIS S/M
662650001,21220,21,L0650,DJO GLOBAL INC,EXOS FORM 637 LUMBO-SACRAL ORTHOSIS S/M
414330045,21515,21,L0650,DJO GLOBAL INC,EXOS FORM 637 LUMBO-SACRAL ORTHOSIS S/M
339460318,21230,21,L0650,DJO GLOBAL INC,EXOS FORM 637 LUMBO-SACRAL ORTHOSIS S/M
662650001,21485,21,L0650,DJO GLOBAL INC,EXOS FORM 637 LUMBO-SACRAL ORTHOSIS S/M
662650001,21285,21,L0650,DJO GLOBAL INC,EXOS FORM 637 LUMBO-SACRAL ORTHOSIS S/M
662650001,21115,21,L0650,DJO GLOBAL INC,EXOS FORM 637 LUMBO-SACRAL ORTHOSIS S/M
339460262,21265,21,L0650,DJO GLOBAL INC,EXOS FORM 637 LUMBO-SACRAL ORTHOSIS S/M
414330045,21515,21,L0621,BREG INC,BOA SI BELT
339460318,21230,21,L0621,BREG INC,BOA SI BELT
339460120,21285,21,L0621,BREG INC,BOA SI BELT
339460175,21385,21,L0621,BREG INC,BOA SI BELT
380560003,21435,21,L0621,BREG INC,BOA SI BELT
380560004,21435,21,L0621,BREG INC,BOA SI BELT
339460262,21265,21,L0621,BREG INC,BOA SI BELT
414330351,21085,21,L0621,BREG INC,BOA SI BELT
340220166,21100,21,L0621,BREG INC,BOA SI BELT
414330116,21610,21,L0621,BREG INC,BOA SI BELT
1129560001,21280,21,L0650,ADVANCED ORTHOPAEDICS INC,THE WEAVE 77 LUMBAR-SACRAL ORTHOSIS - 2X-LARGE
1129560001,21165,21,L0650,ADVANCED ORTHOPAEDICS INC,THE WEAVE 77 LUMBAR-SACRAL ORTHOSIS - 2X-LARGE
2517000001,21695,21,L0650,DJO GLOBAL INC,EXOS FORM 637 LUMBO-SACRAL ORTHOSIS S/M
662650001,21540,21,L0650,DJO GLOBAL INC,EXOS FORM 637 LUMBO-SACRAL ORTHOSIS S/M
662650001,21515,21,L0650,DJO GLOBAL INC,EXOS FORM 637 LUMBO-SACRAL ORTHOSIS S/M
392420007,21295,22,L1833,ALPS CHINA LLC / ALPS ORTHOTICS LLC,KNEE BRACE HINGE PULL ON
339460027,21360,22,L1833,ALPS CHINA LLC / ALPS ORTHOTICS LLC,KNEE BRACE HINGE PULL ON
160070001,21480,22,L1833,ALPS CHINA LLC / ALPS ORTHOTICS LLC,KNEE BRACE HINGE PULL ON
5617100004,21675,22,L1833,DJO LLC,DONJOY X4 KNEE BRACE RIGHT
5617100002,21675,22,L1833,DJO LLC,DONJOY X4 KNEE BRACE RIGHT
5177600001,21505,22,L1833,DJO LLC,DONJOY X4 KNEE BRACE RIGHT
5177600001,21650,22,L1833,DJO LLC,DONJOY X4 KNEE BRACE RIGHT
6716080001,21195,22,L1833,DJO LLC,DONJOY X4 KNEE BRACE RIGHT
6716080001,21050,22,L1833,DJO LLC,DONJOY X4 KNEE BRACE RIGHT
392420002,21200,22,L1833,ALPS CHINA LLC / ALPS ORTHOTICS LLC,KNEE BRACE HINGE PULL ON
5605730001,21100,22,L1833,BSN MEDICAL INC,ACTIMOVE OA KNEE BRACE - DOUBLE UPRIGHT
5605730001,21575,22,L1833,BSN MEDICAL INC,ACTIMOVE OA KNEE BRACE - DOUBLE UPRIGHT
6716080001,21195,21,L0650,BREG INC,PROLUX
6716080001,21220,21,L0650,BREG INC,PROLUX
6716080001,21180,21,L0650,BREG INC,PROLUX
6716080001,21310,21,L0650,BREG INC,PROLUX
6716080001,21050,21,L0650,BREG INC,PROLUX
6716080001,21310,21,L0650,TRULIFE,"TITAN MALE LSO, CORPULENT"
6716080001,21220,21,L0650,TRULIFE,"TITAN MALE LSO, CORPULENT"
6716080001,21180,21,L0650,TRULIFE,"TITAN MALE LSO, CORPULENT"
6716080001,21050,21,L0650,TRULIFE,"TITAN MALE LSO, CORPULENT"
6716080001,21195,21,L0650,TRULIFE,"TITAN MALE LSO, CORPULENT"
6716080001,21220,21,L0621,BREG INC,BOA SI BELT
